2022-09-11 15:13:50,054 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,054 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,055 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,056 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,057 | root       | INFO       | [[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,057 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,058 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,059 | root       | INFO       | [[0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 2]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,060 | root       | INFO       | [[0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,061 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,061 | root       | INFO       | [[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,062 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
2022-09-11 15:13:50,063 | root       | INFO       | [[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]]                                                                                                                                                                                                                                                                 
